timestamp,open,high,low,close,volume,volume_btc
1526967000000, 13.004, 13.009, 12.955, 12.96, 237618, 183033.2158118198
1526968800000, 12.96, 13.13, 12.938, 13.097, 1236000, 946588.3165708033
1526970600000, 13.086, 13.13, 13.046, 13.067, 682972, 522014.4423401763
1526972400000, 13.066, 13.08, 13, 13.062, 473320, 362949.04803258466
1526974200000, 13.065, 13.076, 13.011, 13.035, 283556, 217445.2018019517
1526976000000, 13.037, 13.045, 12.937, 13.005, 655650, 504789.70697691885
1526977800000, 13.005, 13.025, 12.8, 12.854, 1065272, 825568.3543838782
1526979600000, 12.854, 12.878, 12.618, 12.76, 2163560, 1697621.8510279127
1526981400000, 12.766, 12.8, 12.623, 12.791, 936290, 735080.127580694
1526983200000, 12.796, 12.874, 12.775, 12.872, 905990, 706319.1745947358
1526985000000, 12.872, 13.3, 12.862, 12.983, 3574056, 2750501.879258207
1526986800000, 12.982, 13, 12.758, 12.777, 1611412, 1253058.98144415
1526988600000, 12.773, 12.86, 12.69, 12.761, 1317456, 1030353.114219847
1526990400000, 12.759, 12.855, 12.652, 12.81, 2010116, 1573622.36759168
1526992200000, 12.795, 12.816, 12.652, 12.814, 1391820, 1092751.4646228899
1526994000000, 12.814, 12.88, 12.8, 12.87, 1193676, 929495.8043225474
1526995800000, 12.871, 12.965, 12.863, 12.906, 1061416, 822050.6207628447
1526997600000, 12.906, 12.926, 12.844, 12.921, 676688, 524934.0617122225
1526999400000, 12.922, 12.935, 12.819, 12.865, 591750, 459230.3176526787
1527001200000, 12.863, 12.935, 12.815, 12.881, 467318, 363010.8722498693
1527003000000, 12.888, 12.934, 12.872, 12.908, 285696, 221503.66579682633
1527004800000, 12.908, 13.098, 12.89, 13.046, 967008, 743519.8458044053
1527006600000, 13.045, 13.052, 12.908, 12.948, 649266, 499690.6721685857
1527008400000, 12.946, 12.988, 12.903, 12.923, 304618, 235360.5600173582
1527010200000, 12.929, 12.965, 12.902, 12.91, 339216, 262237.5080269532
1527012000000, 12.908, 12.913, 12.827, 12.853, 369384, 287053.02201336983
1527013800000, 12.853, 12.905, 12.82, 12.877, 231318, 179759.1193699904
1527015600000, 12.884, 12.941, 12.805, 12.833, 314226, 244460.94431746274
1527017400000, 12.835, 12.849, 12.72, 12.73, 519562, 406548.9766049298
1527019200000, 12.731, 12.783, 12.7, 12.733, 332244, 260999.45497754833
1527021000000, 12.736, 12.783, 12.68, 12.69, 632148, 496883.8110769581
1527022800000, 12.693, 12.703, 12.401, 12.518, 1778790, 1419782.385885635
1527024600000, 12.515, 12.593, 12.437, 12.5, 487104, 389732.7111873631
1527026400000, 12.5, 12.545, 12.4, 12.426, 540776, 433341.38015031815
1527028200000, 12.423, 12.452, 12, 12.099, 3673090, 3017780.218044988
1527030000000, 12.099, 12.309, 12.092, 12.23, 1143682, 934756.1414140944
1527031800000, 12.229, 12.288, 12.16, 12.186, 1030572, 842681.0260165813
1527033600000, 12.184, 12.33, 12.172, 12.299, 1484330, 1211103.06279346
1527035400000, 12.297, 12.303, 12.15, 12.171, 696260, 569716.6343021189
1527037200000, 12.171, 12.18, 11.7, 11.9, 4329972, 3637179.8237809744
1527039000000, 11.9, 12.064, 11.79, 12, 1852384, 1550985.5502779137
1527040800000, 12.004, 12.029, 11.89, 12.029, 996804, 833021.0493595576
1527042600000, 12.03, 12.095, 12.003, 12.015, 978542, 811809.6194944632
1527044400000, 12.022, 12.179, 11.969, 12.169, 876758, 725087.457556034
1527046200000, 12.159, 12.19, 12.11, 12.12, 790924, 651043.6657604502
1527048000000, 12.122, 12.13, 11.948, 11.971, 1055768, 876738.3564829007
1527049800000, 11.973, 12.048, 11.902, 11.981, 631214, 527111.3849820573
1527051600000, 11.98, 12.032, 11.935, 12.027, 402902, 336010.60586695885
1527053400000, 12.021, 12.075, 11.941, 11.972, 500726, 417390.18642226467
1527055200000, 11.971, 12.059, 11.921, 12.032, 419538, 349965.3371076543
1527057000000, 12.033, 12.079, 11.985, 12.034, 406512, 337796.0562592621
1527058800000, 12.034, 12.039, 11.75, 11.751, 1287940, 1083305.663417352
1527060600000, 11.755, 11.767, 10.946, 11.2, 7986734, 7058109.090067088
1527062400000, 11.21, 11.354, 11.02, 11.135, 2312858, 2058373.9305702015
1527064200000, 11.127, 11.3, 11, 11.3, 2150126, 1927793.5625924673
1527066000000, 11.3, 11.31, 11.102, 11.116, 1344690, 1201746.695949318
1527067800000, 11.126, 11.304, 11.126, 11.255, 1119022, 995535.6154604732
1527069600000, 11.256, 11.386, 11.256, 11.35, 1671068, 1473709.4368470265
1527071400000, 11.359, 11.36, 11.241, 11.288, 866788, 767266.5615809388
1527073200000, 11.289, 11.35, 11.19, 11.248, 946262, 841024.7879508295
1527075000000, 11.247, 11.348, 11.206, 11.29, 651922, 577928.2395398876
1527076800000, 11.287, 11.33, 11.222, 11.273, 397564, 352348.6844055226
1527078600000, 11.272, 11.406, 11.272, 11.342, 971432, 855680.5545855539
1527080400000, 11.342, 11.375, 11.255, 11.313, 468884, 414295.0404598649
1527082200000, 11.311, 11.389, 11.296, 11.325, 448358, 395225.8996031091
1527084000000, 11.325, 11.35, 11.127, 11.193, 1010060, 898604.4482736796
1527085800000, 11.196, 11.319, 11.19, 11.315, 586822, 521933.2460653253
1527087600000, 11.312, 11.366, 11.189, 11.233, 683518, 605570.2429954305
1527089400000, 11.242, 11.242, 10.621, 10.782, 4359032, 4002698.077679723
1527091200000, 10.782, 10.822, 10.422, 10.76, 4122280, 3888596.446466049
1527093000000, 10.76, 10.8, 10.639, 10.668, 1245274, 1160619.0926771802
1527094800000, 10.668, 10.753, 10.49, 10.587, 1638946, 1542862.8987635945
1527096600000, 10.589, 10.754, 10.5, 10.71, 1628194, 1535749.7811011535
1527098400000, 10.688, 10.84, 10.651, 10.805, 1433872, 1335230.468340387
1527100200000, 10.794, 10.831, 10.706, 10.755, 745822, 691631.922679059
1527102000000, 10.767, 10.819, 10.721, 10.745, 496306, 460371.3044008801
1527103800000, 10.746, 10.926, 10.746, 10.86, 720674, 663356.4143486562
1527105600000, 10.867, 11.019, 10.859, 10.892, 844628, 772140.7433579387
1527107400000, 10.892, 10.906, 10.753, 10.822, 589406, 544286.4995283994
1527109200000, 10.82, 10.85, 10.796, 10.821, 220046, 203319.98767235066
1527111000000, 10.824, 11.15, 10.815, 11.121, 662510, 602594.6223438805
1527112800000, 11.12, 11.134, 10.93, 10.974, 539164, 488706.66605198954
1527114600000, 10.973, 10.993, 10.7, 10.708, 734728, 676167.2732861202
1527116400000, 10.71, 10.839, 10.56, 10.609, 1015606, 950516.66187852
1527118200000, 10.608, 10.784, 10.607, 10.678, 573922, 535613.3879532388
1527120000000, 10.68, 10.988, 10.68, 10.933, 851630, 784283.4916131418
1527121800000, 10.93, 11.063, 10.891, 10.972, 839972, 764853.2613184757
1527123600000, 10.97, 11.27, 10.97, 11.195, 1732574, 1552671.06541714
1527125400000, 11.199, 11.219, 11.036, 11.102, 862274, 776029.4549049633
1527127200000, 11.101, 11.175, 11.026, 11.037, 500874, 451329.6037302343
1527129000000, 11.035, 11.075, 10.928, 11.017, 1076176, 977205.7925394637
1527130800000, 11.015, 11.144, 10.96, 11.107, 761734, 689464.0529549579
1527132600000, 11.109, 11.111, 10.994, 11.023, 524174, 474308.01104732434
1527134400000, 11.022, 11.25, 10.997, 11.22, 768882, 689339.6601787561
1527136200000, 11.212, 11.244, 11.118, 11.207, 531118, 474418.7910647246
1527138000000, 11.201, 11.245, 11.106, 11.227, 848790, 758458.8131371285
1527139800000, 11.226, 11.243, 11.08, 11.136, 953010, 854967.2064231144
1527141600000, 11.139, 11.202, 11.067, 11.12, 590160, 530642.6613394688
1527143400000, 11.122, 11.161, 11.07, 11.12, 493846, 444249.51272546494
1527145200000, 11.125, 11.233, 11.116, 11.18, 649292, 580547.5812210755
1527147000000, 11.183, 11.195, 10.784, 10.9, 2238650, 2042922.589924721
1527148800000, 10.9, 10.927, 10.485, 10.5, 2620394, 2445807.9030854823
1527150600000, 10.603, 10.622, 10.312, 10.58, 2894018, 2759008.7069718256
1527152400000, 10.579, 10.641, 10.333, 10.587, 2601016, 2482909.245485815
1527154200000, 10.598, 10.737, 10.531, 10.693, 1428962, 1341995.9696736662
1527156000000, 10.693, 10.776, 10.628, 10.67, 906360, 847552.3735791891
1527157800000, 10.669, 10.775, 10.631, 10.735, 1149472, 1073833.0535655979
1527159600000, 10.737, 10.89, 10.708, 10.848, 1045406, 968579.7293248517
1527161400000, 10.848, 10.86, 10.767, 10.826, 676028, 625244.6399831084
1527163200000, 10.82, 10.826, 10.69, 10.718, 1028726, 957622.514927102
1527165000000, 10.718, 11.463, 10.589, 11.351, 4211184, 3809976.3065522467
1527166800000, 11.351, 11.633, 11.342, 11.507, 3201494, 2786290.5008408534
1527168600000, 11.504, 11.562, 11.353, 11.402, 1302214, 1136745.3388667323
1527170400000, 11.404, 11.6, 11.348, 11.593, 1352158, 1180215.8193379394
1527172200000, 11.592, 12.15, 11.555, 11.92, 3731632, 3126198.389340856
1527174000000, 11.92, 12.214, 11.916, 12.021, 2452462, 2029464.8235974521
1527175800000, 12.026, 12.32, 11.981, 12.2, 1928534, 1585343.0314374692
1527177600000, 12.209, 12.214, 11.91, 11.949, 1614608, 1339486.0416105136
1527179400000, 11.95, 12.021, 11.851, 11.986, 1515000, 1269629.6359573596
1527181200000, 11.981, 12.097, 11.85, 11.965, 1182048, 987728.4479158659
1527183000000, 11.965, 12.025, 11.894, 11.956, 605470, 505739.54945158894
1527184800000, 11.95, 12.07, 11.878, 12.026, 777044, 649270.456976344
1527186600000, 12.018, 12.195, 12.013, 12.155, 745220, 614677.3291683601
1527188400000, 12.168, 12.249, 12.043, 12.103, 809452, 666672.4757004154
1527190200000, 12.101, 12.198, 12.072, 12.123, 362544, 298955.2793789144
1527192000000, 12.121, 12.137, 11.985, 12.07, 724270, 600027.691458412
1527193800000, 12.07, 12.174, 12.031, 12.134, 358512, 296159.5410277284
1527195600000, 12.139, 12.209, 11.994, 12.033, 497592, 411103.84669421404
1527197400000, 12.046, 12.149, 11.99, 12.1, 301540, 250046.37317458817
1527199200000, 12.102, 12.205, 12.06, 12.205, 302776, 249855.82272002194
1527201000000, 12.204, 12.916, 12.168, 12.791, 2626254, 2078640.9237842967
1527202800000, 12.788, 12.94, 12.618, 12.807, 1306810, 1022814.0475546116
1527204600000, 12.856, 12.856, 12.647, 12.767, 960946, 754068.7291064265
1527206400000, 12.767, 12.8, 12.452, 12.579, 1059834, 839229.3252045639
1527208200000, 12.589, 12.599, 12.325, 12.521, 1738492, 1398816.6735605528
1527210000000, 12.513, 12.552, 12.164, 12.271, 1181618, 956419.3753803209
1527211800000, 12.263, 12.416, 12.246, 12.28, 982516, 798005.7189871715
1527213600000, 12.275, 12.556, 12.275, 12.502, 1026740, 827998.8573491168
1527215400000, 12.511, 12.688, 12.492, 12.602, 1504144, 1194713.6858981703
1527217200000, 12.598, 12.626, 12.379, 12.478, 995530, 797303.8430183023
1527219000000, 12.477, 12.5, 12.328, 12.462, 685162, 552306.7707950425
1527220800000, 12.461, 12.485, 12.3, 12.45, 1023430, 825966.5542668843
1527222600000, 12.443, 12.454, 12.275, 12.386, 884496, 716221.0088885761
1527224400000, 12.392, 12.427, 12.305, 12.37, 445376, 359807.8130552123
1527226200000, 12.373, 12.466, 12.351, 12.429, 556340, 448394.89831694326
1527228000000, 12.43, 12.576, 12.369, 12.41, 1107050, 888982.6436781622
1527229800000, 12.403, 12.421, 11.8, 11.959, 3034506, 2514268.1155684553
1527231600000, 11.955, 12.047, 11.709, 11.925, 2837786, 2388913.6715100957
1527233400000, 11.918, 11.931, 11.832, 11.899, 1791156, 1504617.3675311925
1527235200000, 11.902, 13.062, 11.727, 12.071, 135190, 112178.30853362185
1527237000000, 12.042, 12.224, 12.042, 12.15, 165156, 135984.62120007075
1527238800000, 12.148, 12.174, 11.942, 12.081, 50342, 41786.04167556757
1527240600000, 12.081, 12.16, 11.939, 11.996, 41626, 34491.45362005648
1527242400000, 11.996, 12.132, 11.996, 12.075, 34424, 28542.099888969984
1527244200000, 12.075, 12.075, 11.569, 11.626, 97600, 82270.44991747316
1527246000000, 11.64, 12.155, 11.498, 12.145, 244628, 209291.1422184267
1527247800000, 12.135, 12.361, 12.089, 12.248, 150718, 123230.73052939115
1527249600000, 12.248, 12.502, 12.19, 12.298, 113352, 91758.25105176933
1527251400000, 12.326, 12.5, 12.281, 12.32, 75060, 60592.74696860205
